T01|First|69.420|0|0123456789|01/01/2022|-|C01|S01
T02|Second|69.420|0|0123456789|01/01/2022|-|C02|S02
T03|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T04|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T05|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T06|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T07|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T08|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T09|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T010|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T011|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
T012|Third|69.420|0|0123456789|01/01/2022|-|C03|S03
